"source"	"target"	"type"	"subtype"
"ls:fr:node:30554"	"ls:fr:node:39163"	"ls:fr:cptype:2"	""
"ls:fr:node:30554"	"ls:fr:node:30555"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:30554"	"ls:fr:node:47098"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:30554"	"ls:fr:node:38310"	"ls:fr:cptype:1"	"ls:fr:cpstype:2"
"ls:fr:node:29855"	"ls:fr:node:47768"	"ls:fr:cptype:2"	""
"ls:fr:node:27505"	"ls:fr:node:30717"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:35109"	"ls:fr:node:47745"	"ls:fr:cptype:2"	""
"ls:fr:node:47745"	"ls:fr:node:47736"	"ls:fr:cptype:4"	""
"ls:fr:node:47736"	"ls:fr:node:47759"	"ls:fr:cptype:4"	""
"ls:fr:node:47745"	"ls:fr:node:47753"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:47777"	"ls:fr:node:31749"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:35109"	"ls:fr:node:47780"	"ls:fr:cptype:2"	"ls:fr:cpstype:8"
"ls:fr:node:42349"	"ls:fr:node:26565"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:26623"	"ls:fr:node:40095"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:28117"	"ls:fr:node:47678"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:28117"	"ls:fr:node:47673"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:28790"	"ls:fr:node:39109"	"ls:fr:cptype:2"	""
"ls:fr:node:28790"	"ls:fr:node:39628"	"ls:fr:cptype:2"	""
"ls:fr:node:28790"	"ls:fr:node:38991"	"ls:fr:cptype:1"	"ls:fr:cpstype:16"
"ls:fr:node:47806"	"ls:fr:node:47807"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:33209"	"ls:fr:node:33210"	"ls:fr:cptype:5"	""
"ls:fr:node:38427"	"ls:fr:node:38428"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:27536"	"ls:fr:node:29976"	"ls:fr:cptype:5"	""
"ls:fr:node:26863"	"ls:fr:node:45509"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:45509"	"ls:fr:node:45524"	"ls:fr:cptype:5"	""
"ls:fr:node:26863"	"ls:fr:node:45628"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:45628"	"ls:fr:node:30141"	"ls:fr:cptype:2"	""
"ls:fr:node:28527"	"ls:fr:node:39256"	"ls:fr:cptype:4"	""
"ls:fr:node:28527"	"ls:fr:node:39094"	"ls:fr:cptype:4"	""
"ls:fr:node:28527"	"ls:fr:node:39095"	"ls:fr:cptype:4"	""
"ls:fr:node:28527"	"ls:fr:node:39096"	"ls:fr:cptype:2"	""
"ls:fr:node:28527"	"ls:fr:node:39097"	"ls:fr:cptype:2"	""
"ls:fr:node:39095"	"ls:fr:node:39098"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:28527"	"ls:fr:node:38777"	"ls:fr:cptype:2"	""
"ls:fr:node:38777"	"ls:fr:node:39582"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:47848"	"ls:fr:node:47677"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:47815"	"ls:fr:node:47769"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:47815"	"ls:fr:node:47767"	"ls:fr:cptype:2"	""
"ls:fr:node:41834"	"ls:fr:node:47816"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:41834"	"ls:fr:node:46173"	"ls:fr:cptype:2"	""
"ls:fr:node:26459"	"ls:fr:node:39395"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:55375"	"ls:fr:node:29966"	"ls:fr:cptype:5"	""
"ls:fr:node:29213"	"ls:fr:node:47819"	"ls:fr:cptype:2"	""
"ls:fr:node:47818"	"ls:fr:node:47817"	"ls:fr:cptype:2"	""
"ls:fr:node:33166"	"ls:fr:node:45550"	"ls:fr:cptype:5"	""
"ls:fr:node:28590"	"ls:fr:node:44422"	"ls:fr:cptype:5"	""
"ls:fr:node:28590"	"ls:fr:node:44415"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:33167"	"ls:fr:node:44424"	"ls:fr:cptype:5"	""
"ls:fr:node:33167"	"ls:fr:node:44662"	"ls:fr:cptype:5"	""
"ls:fr:node:30850"	"ls:fr:node:30851"	"ls:fr:cptype:2"	""
"ls:fr:node:30851"	"ls:fr:node:30852"	"ls:fr:cptype:5"	""
"ls:fr:node:26412"	"ls:fr:node:38828"	"ls:fr:cptype:2"	""
"ls:fr:node:29889"	"ls:fr:node:47770"	"ls:fr:cptype:2"	""
"ls:fr:node:45871"	"ls:fr:node:42119"	"ls:fr:cptype:5"	""
"ls:fr:node:39925"	"ls:fr:node:47795"	"ls:fr:cptype:2"	""
"ls:fr:node:42130"	"ls:fr:node:47787"	"ls:fr:cptype:2"	""
"ls:fr:node:47785"	"ls:fr:node:47784"	"ls:fr:cptype:2"	""
"ls:fr:node:42180"	"ls:fr:node:42181"	"ls:fr:cptype:2"	""
"ls:fr:node:42131"	"ls:fr:node:47783"	"ls:fr:cptype:2"	""
"ls:fr:node:42253"	"ls:fr:node:47826"	"ls:fr:cptype:2"	""
"ls:fr:node:42128"	"ls:fr:node:47822"	"ls:fr:cptype:2"	""
"ls:fr:node:42125"	"ls:fr:node:47782"	"ls:fr:cptype:2"	""
"ls:fr:node:42125"	"ls:fr:node:42124"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:42126"	"ls:fr:node:47791"	"ls:fr:cptype:2"	""
"ls:fr:node:42127"	"ls:fr:node:47793"	"ls:fr:cptype:2"	""
"ls:fr:node:47825"	"ls:fr:node:42157"	"ls:fr:cptype:2"	""
"ls:fr:node:47810"	"ls:fr:node:42117"	"ls:fr:cptype:2"	""
